"Adipose...Subcutaneous" "Adipose...Visceral..Omentum." "Adrenal.Gland" "Artery...Aorta" "Artery...Coronary" "Artery...Tibial" "Brain...Anterior.cingulate.cortex..BA24." "Brain...Caudate..basal.ganglia." "Brain...Cerebellar.Hemisphere" "Brain...Cerebellum" "Brain...Cortex" "Brain...Frontal.Cortex..BA9." "Brain...Hippocampus" "Brain...Hypothalamus" "Brain...Nucleus.accumbens..basal.ganglia." "Brain...Putamen..basal.ganglia." "Breast...Mammary.Tissue" "Cells...EBV.transformed.lymphocytes" "Cells...Transformed.fibroblasts" "Colon...Sigmoid" "Colon...Transverse" "Esophagus...Gastroesophageal.Junction" "Esophagus...Mucosa" "Esophagus...Muscularis" "Heart...Atrial.Appendage" "Heart...Left.Ventricle" "Liver" "Lung" "Muscle...Skeletal" "Nerve...Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin...Not.Sun.Exposed..Suprapubic." "Skin...Sun.Exposed..Lower.leg." "Small.Intestine...Terminal.Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole.Blood"
"ENSG00000049245" 9162.42571428572 7250.67841409692 5608.77931034483 7911.20089285714 8228.61654135338 8873.60843373494 3330.5119047619 4180.67521367521 2348.24761904762 2204.464 3296.68421052632 3241.67592592593 4981.90425531915 4748.51041666667 3652.46902654867 4520.40206185567 7028.31308411215 1361.58474576271 7743.18661971831 5402.1677852349 4726.7193877551 5859.90849673203 5167.93356643357 6142.1983805668 3977.84536082474 3133.39449541284 1698.05882352941 7016.934375 3763.7488372093 7427.89802631579 5023.01030927835 1534.88888888889 4382.69902912621 4693.07547169811 5515.56 5918.25770308123 4085.78409090909 4094.53846153846 3743.53886010363 3508.40697674419 4770.45820433437 6251.5421686747 5234.77083333333 4605.11450381679
"ENSG00000049246" 1311.98285714286 820.779735682819 833.572413793103 906.334821428571 1018.39097744361 1711.91265060241 1116.59523809524 1125.26495726496 5154.45714285714 3968.472 1082.37719298246 1153.5 814.744680851064 1005.61458333333 1139.46902654867 901.536082474227 1185.18224299065 251.016949152542 224.464788732394 2051.02013422819 1011.35714285714 1946.24183006536 915.660839160839 1913.96356275304 808.427835051546 443.848623853211 853.243697478992 845.59375 864.23023255814 1827.25986842105 1443.85567010309 519.631578947368 2201.53398058252 1015.04716981132 1255.112 1543.36134453782 621.818181818182 254.692307692308 902.647668393782 1010.09302325581 1271.96904024768 1516.95180722892 1202.52083333333 35.7175572519084
"ENSG00000054523" 4618.04 3600.39207048458 5982.75862068965 4544.64285714286 4065.73684210526 4775.96686746988 27815.3571428571 20906.641025641 36789.8952380952 26715.64 25540.1315789474 28269.1666666667 20494.5319148936 21225.09375 25241.1592920354 17775.1649484536 4011.47663551402 1653.31355932203 4757.83450704225 6124.45637583893 4762.12755102041 5573.28758169935 5693.16433566434 6507.17004048583 5117.63402061856 6396.55504587156 2538.61344537815 4490.525 30981.0093023256 6575.44078947368 5005.89690721649 3202.99415204678 5478.71844660194 3693.83018867925 4661.864 5256.91316526611 3985.64772727273 2749.51923076923 3110.61139896373 7497.6976744186 4215.92260061919 6187.24096385542 4578.46875 3453.368956743
"ENSG00000055070" 513.968571428571 542.096916299559 622.213793103448 787.763392857143 720.661654135338 788.478915662651 242.142857142857 282.495726495727 204.333333333333 180.496 207.578947368421 216.888888888889 210.723404255319 237.25 269.858407079646 246.40206185567 492.252336448598 1823.31355932203 1232.70774647887 537.865771812081 495.918367346939 643.725490196078 621.237762237762 668.425101214575 442.273195876289 466.371559633028 259.058823529412 526.484375 632.104651162791 417 561.680412371134 205.122807017544 236.300970873786 394.509433962264 374.912 389.865546218487 485.931818181818 430.971153846154 417.077720207254 383.406976744186 437.69040247678 663.253012048193 447.020833333333 417.063613231552
"ENSG00000058453" 2552.05428571429 2371.7268722467 2308.94482758621 2505.49553571429 2726.54887218045 2118.34638554217 1722.34523809524 2375.16239316239 10134.1142857143 8608.984 2291.98245614035 2000.34259259259 2038.37234042553 3156.47916666667 2238.35398230089 1815.71134020619 2860.93457943925 372.491525423729 1681.82746478873 3256.24832214765 2052.05612244898 2828.92156862745 2803.72027972028 2691.41295546559 1412.46907216495 1040.54128440367 607.067226890756 2715.425 888.281395348837 3779.01644736842 4368.34020618557 2094.22807017544 3627.40776699029 3555.87735849057 4170.124 3309.59383753501 2489.18181818182 3217.07692307692 2268.21243523316 2249.63953488372 2739.23219814241 4943.49397590361 3615.625 858.984732824428
"ENSG00000065526" 8862.20571428571 6817.14537444934 4851.8 10735.4866071429 10007.0526315789 13047.1777108434 4393.2380952381 4963.16239316239 11886.7714285714 12053.536 5713.68421052632 4588.00925925926 4450.82978723404 4534.55208333333 4915.8407079646 4324.70103092783 8509.3691588785 11698.3898305085 6153.54577464789 6613.08053691275 6112.34693877551 7705.81045751634 6819.7972027972 7824.92712550607 4419.17010309278 3492.94036697248 3352.39495798319 8518.453125 6467.70465116279 10075.5855263158 11097.2989690722 4352.13450292398 6651.55339805825 6663.07547169811 8581.56 8590.07843137255 7719.05681818182 6359.55769230769 5072.81347150259 6628.26162790698 9741.22291021672 10047.2530120482 7542.61458333333 3163.61577608142
"ENSG00000067606" 49.42 135.859030837004 877.110344827586 33.0357142857143 64.8345864661654 34.7409638554217 6407.25 4271.16239316239 11864.2761904762 10055.712 7472.48245614035 7214.07407407407 4174.67021276596 4039.59375 5320.14159292035 4093.57731958763 329.551401869159 143.406779661017 39.0105633802817 203.10067114094 976.602040816327 176.235294117647 1106.64685314685 117.421052631579 583.30412371134 463.105504587156 514.529411764706 2867.25 18.4790697674419 58.7565789473684 195.278350515464 610.181286549708 1629.43689320388 777.584905660377 967.184 952.417366946779 1509.17045454545 899.836538461538 527.067357512953 4698.66279069767 1890.76470588235 130.265060240964 582.53125 508.893129770992
"ENSG00000069424" 2242.81428571429 1873.92511013216 1248.91724137931 1303.04017857143 1936.31578947368 631.262048192771 28602.9523809524 12862.905982906 6658.83809523809 7151.336 32302.3333333333 30621.9907407407 21030.1063829787 7443.75 17120.3539823009 12844.793814433 1281.42523364486 15846.8644067797 548.830985915493 1262.81879194631 1341.27040816327 1228.37908496732 639.192307692308 1419.65182186235 1160.18041237113 2296.33027522936 888.655462184874 5694.846875 1126.43720930233 1317.75 901.350515463918 401.625730994152 3761.40776699029 1054.71698113208 1330.012 1343.52100840336 3916.55681818182 11638.8461538462 803.80310880829 1100.62790697674 959.12693498452 1142.02409638554 822.989583333333 12406.4605597964
"ENSG00000074800" 32310.2685714286 31348.8105726872 30866.5379310345 50207.8660714286 39589.022556391 37480.9337349398 43644.380952381 43391.2307692308 19911.3714285714 21426.624 39631.6842105263 39312.2222222222 29212.5319148936 33750.84375 47316.8849557522 39004.7113402062 30466.0327102804 224681.36440678 100891.940140845 25236.7785234899 27028.7142857143 32299.8104575163 64900.479020979 42294.4898785425 16837.5670103093 10708.0412844037 23285.2016806723 38354.228125 9524.96046511628 30401.2138157895 20453.7835051546 8995.80701754386 18137.1941747573 21885.7547169811 35871.308 36293.7955182073 27278.8863636364 28581.5 18622.8860103627 19994.2674418605 21724.7430340557 21111.6746987952 34306.6145833333 42519.3435114504
"ENSG00000078369" 18633.7628571429 16293.449339207 15066.7517241379 20473.4508928571 19845.030075188 21257.0602409639 39919.2857142857 24401.1282051282 28767.8476190476 22043.112 36775.7368421053 42027.462962963 21902.8936170213 23916.8333333333 24918.3362831858 22831.2164948454 16222.2476635514 27337.0084745763 24970.0669014085 16257.2348993289 14526.4744897959 15291.4248366013 11144.9195804196 16715.3441295547 9042.81958762887 8105.19724770642 6139.86554621849 18804.803125 3652.16046511628 15309 13074.3917525773 5869.69005847953 15475.9223300971 12588.6509433962 13392.888 13801.9243697479 15985.75 14368.7788461538 10525.4922279793 11397.2674418605 12909.9380804954 17032.6024096386 13343.03125 15225.2773536896
